nr,commission_representative,portfolio,date,location,subject(s)-edited,lobbyist,health_meeting_or_lab,,,
12,"Mette Toftdal Grolleman, Cabinet member of Jonathan Hill","Financial Stability, Financial Services and Capital Markets Union",19/05/2016,Brussels,CRR/CRD package,Afore Consulting,FALSE,,,
13,"Paulina Dejmek Hack, Cabinet member of Jean-Claude Juncker",President,12/02/2016,Brussels,Financial Regulation,Afore Consulting,FALSE,,,
14,"Denzil Davidson, Cabinet member of Jonathan Hill","Financial Stability, Financial Services and Capital Markets Union",21/01/2016,Brussels,Financial Services Policy,Afore Consulting,FALSE,,,
15,"Bernardus Smulders, Cabinet member of Frans Timmermans","Better Regulation, Interinstitutional Relations, the Rule of Law and the Charter of Fundamental Rights",14/01/2016,Brussels,AECA Round-Table on “Dealing with Regulatory Burden,Afore Consulting,FALSE,,,
16,"Maria Cristina Lobillo Borrero, Cabinet member of Miguel Arias Cañete;Silvia Bartolini, Cabinet member of Miguel Arias Cañete",Climate Action & Energy,24/02/2015,"Brussels, Belgium",EU policy on LNG,Afore Consulting,FALSE,,,
17,"Paulina Dejmek Hack, Cabinet member of Jean-Claude Juncker",President,16/01/2015,"Brussels, Belgium",Priorities of the new Commission in the area of Financial Services,Afore Consulting,FALSE,,,
18,"Lee Foulger, Cabinet member of Valdis Dombrovskis","Euro and Social Dialogue, also in charge of Financial Stability, Financial Services and Capital Markets Union",8/01/2015,Brussels,Commission's priorities in the area of financial services in 2015,Afore Consulting,FALSE,,,
19,"Nathalie De Basaldua Lemarchand, Cabinet member of Jonathan Hill","Financial Stability, Financial Services and Capital Markets Union",2/12/2014,Brussels,Capital Markets Union,Afore Consulting,FALSE,,,
1,"Jutta Urpilainen, Commissioner",International Partnerships,26/01/2021,Videoconference,Launching of the youth advisory board,African Caribbean Pacific Young Professionals Network (ACP YPN),FALSE,,,
1,"Nicolas Schmit, Commissioner;Ana Carla Pereira, Cabinet member of Nicolas Schmit;Anouk Faber, Cabinet member of Nicolas Schmit",Jobs and Social Rights,14/12/2020,Videoconference,Meeting on the European Disability Strategy.,AGE Platform Europe (AGE),FALSE,,,
2,"Astrid Dentler, Cabinet member of Dubravka Šuica",Democracy and Demography,3/07/2020,Brussels,"Topics discussed Work of the Commission on demography Upcoming green paper on ageing Long-term care, in particular with regard to dignity, quality, affordability and access Links with the Action Plan on the European Pillar of Social Rights",AGE Platform Europe (AGE),FALSE,,,
3,"Andrea Beltramello, Cabinet member of Valdis Dombrovskis;Valdis Dombrovskis , Executive Vice-President",An Economy that Works for People,28/05/2020,video-conferencing,COVID-19 relief measures,AGE Platform Europe (AGE),TRUE,,,
4,"Andrea Beltramello, Cabinet member of Valdis Dombrovskis;Valdis Dombrovskis , Executive Vice-President",An Economy that Works for People,28/05/2020,video-conferencing,COVID-19 relief measures,AGE Platform Europe (AGE),TRUE,,,
5,"Astrid Dentler, Cabinet member of Dubravka Šuica;Dubravka Šuica, Vice-President;Colin Scicluna, Cabinet member of Dubravka Šuica",Democracy and Demography,29/04/2020,Videoconference,"Social Services in Europe, Statutory Duties of Public Social Services, Explanation, Impact & challenges of COVID-19, Elderly, Role of the EU, Rights of persons with disabilities, social dialogue & cross-sectoral social dialogue",AGE Platform Europe (AGE),TRUE,,,
6,"Stella Kyriakides, Commissioner",Health,29/04/2020,Brussels,VC meeting on the Impact of COVID-19 on Social Services and the risks for persons in vulnerable situations,AGE Platform Europe (AGE),TRUE,,,
7,"Ana Carla Pereira, Cabinet member of Nicolas Schmit;Anouk Faber, Cabinet member of Nicolas Schmit;Nicolas Schmit, Commissioner",Jobs and Social Rights,29/04/2020,Videoconference,Videoconference meeting on social support care service and COVID-19,AGE Platform Europe (AGE),TRUE,,,
8,"Ana Carla Pereira, Cabinet member of Nicolas Schmit",Jobs and Social Rights,29/04/2020,Video conference (skype),long-term care (LTC) and how LTC systems are affected by the current COVID crisis,AGE Platform Europe (AGE),TRUE,,,
9,"Deša Srsen, Cabinet member of Dubravka Šuica;Astrid Dentler, Cabinet member of Dubravka Šuica",Democracy and Demography,20/04/2020,Brussels,- Report on the Impact of Demographic Change - Green Paper on Ageing - Long-term vision on rural areas - Madrid International Plan of Action on Ageing,AGE Platform Europe (AGE),FALSE,,,
10,"Nora Bednarski, Cabinet member of Helena Dalli;Lesia Radelicki, Cabinet member of Helena Dalli",Equality,4/02/2020,Brussels,"Age Platform's views on the challenges faced by an aging population, in particular aging women.",AGE Platform Europe (AGE),FALSE,,,
11,"Jocelyn Fajardo, Cabinet member of Violeta Bulc",Transport,31/01/2019,Brussels,Transport matters,AGE Platform Europe (AGE),FALSE,,,
12,"Sarah Nelen, Cabinet member of Frans Timmermans","Better Regulation, Interinstitutional Relations, the Rule of Law and the Charter of Fundamental Rights",24/03/2017,Brussels,Work-Life Balance,AGE Platform Europe (AGE),FALSE,,,
13,"Stefaan Hermans, Cabinet member of Marianne Thyssen;Vasiliki Kokkori, Cabinet member of Marianne Thyssen","Employment, Social Affairs, Skills and Labour Mobility",25/06/2015,Brussels,"Meeting to discuss the Commission’s agenda on active ageing, pensions and long-term health care",AGE Platform Europe (AGE),TRUE,,,
14,"Monika Ladmanova, Cabinet member of Věra Jourová","Justice, Consumers and Gender Equality",5/06/2015,"Brussels, Belgium",EC Work Programme,AGE Platform Europe (AGE),FALSE,,,
15,"Věra Jourová, Commissioner","Justice, Consumers and Gender Equality",16/02/2015,"Brussels, Belgium",Equal Treatment Directive,AGE Platform Europe (AGE),FALSE,,,
16,"Frans Timmermans, First Vice-President","Better Regulation, Interinstitutional Relations, the Rule of Law and the Charter of Fundamental Rights",15/01/2015,Sassenheim,Better regulation and European affairs in general,AGE Platform Europe (AGE),FALSE,,,
17,"Frans Timmermans, First Vice-President","Better Regulation, Interinstitutional Relations, the Rule of Law and the Charter of Fundamental Rights",9/01/2015,Brussels,Roundtable with NGO's on fundamental rights,AGE Platform Europe (AGE),FALSE,,,
18,"Věra Jourová, Commissioner","Justice, Consumers and Gender Equality",9/01/2015,"Brussels, Belgium",Roundtable with NGOs on fundamental rights and non- discrimination,AGE Platform Europe (AGE),FALSE,,,
1,"Lucrezia Busa, Cabinet member of Didier Reynders;Didier Reynders, Commissioner",Justice,16/07/2020,Video-conference,"AI, data protection and DSA",AGORIA,FALSE,,,
2,"Piet van Nuffel, Cabinet member of Marianne Thyssen","Employment, Social Affairs, Skills and Labour Mobility",18/10/2018,Brussels,Impact of Posting of Workers Directive on European companies,AGORIA,FALSE,,,
3,"Marlene Madsen, Cabinet member of Jyrki Katainen","Jobs, Growth, Investment and Competitiveness",21/04/2017,Brussels,Social dimension of Europe and the European Pillar of the Social Rights,AGORIA,FALSE,,,
4,"Günther Oettinger, Commissioner",Digital Economy and Society,8/09/2016,Brussels,Dual use,AGORIA,FALSE,,,
5,"Peter van Kemseke, Cabinet member of Maroš Šefčovič",Energy Union,12/05/2015,"Brussels, BE",Ventilation system,AGORIA,FALSE,,,
1,"Renaud Savignat, Cabinet member of Jutta Urpilainen",International Partnerships,10/11/2020,Videoconference,GA on Africa Strategy,AIM European Brands Association (AIM),FALSE,,,
2,"Geneviève Tuts, Cabinet member of Didier Reynders;Lucrezia Busa, Cabinet member of Didier Reynders",Justice,27/10/2020,Videoconference,Consumer Agenda and the Consumer Goods Industry,AIM European Brands Association (AIM),FALSE,,,
3,"Kerstin Jorna, Director-General","Director-General of Internal Market, Industry, Entrepreneurship and SMEs(GROW)",8/10/2020,Brussels,Introductory virtual meeting,AIM European Brands Association (AIM),FALSE,,,
4,"Carlos Morais-Pires, Cabinet member of Mariya Gabriel",Innovation and Youth,16/09/2020,Virtual,The impact of the COVID-19 crisis,AIM European Brands Association (AIM),TRUE,,,
5,"Lucrezia Busa, Cabinet member of Didier Reynders",Justice,14/09/2020,video conference,Digital Services Act,AIM European Brands Association (AIM),FALSE,,,
6,"Filomena Chirico, Cabinet member of Thierry Breton",Internal Market,31/07/2020,Videoconference,Digital services act,AIM European Brands Association (AIM),FALSE,,,
7,"Lucrezia Busa, Cabinet member of Didier Reynders",Justice,14/07/2020,Video conference,meeting internal market political priorities,AIM European Brands Association (AIM),FALSE,,,
8,"Stig Joergen Gren, Cabinet member of Andrus Ansip",Digital Single Market,1/04/2019,Brussels,Intellectual property,AIM European Brands Association (AIM),FALSE,,,
9,"Carl-Christian Buhr, Cabinet member of Mariya Gabriel",Digital Economy and Society,4/06/2018,Brussels,ePrivacy,AIM European Brands Association (AIM),FALSE,,,
10,"Michel Barnier, Director-General",Head of Task Force of Task Force for Relations with the United Kingdom (UKTF),16/03/2018,Brussels,Meeting with the Task Force for the Preparation and Conduct of the Negotiations with the United Kingdom under Article 50 TEU,AIM European Brands Association (AIM),FALSE,,,
11,"Jyrki Katainen, Vice-President","Jobs, Growth, Investment and Competitiveness",30/01/2018,Brussels,Unfair Trading Practices,AIM European Brands Association (AIM),FALSE,,,
12,"Rolf Carsten Bermig, Cabinet member of Elżbieta Bieńkowska;Tomasz Husak, Cabinet member of Elżbieta Bieńkowska","Internal Market, Industry, Entrepreneurship and SMEs",30/01/2018,Brussels,Unfair Trading Practices,AIM European Brands Association (AIM),FALSE,,,
13,"Věra Jourová, Commissioner;Eduard Hulicius, Cabinet member of Věra Jourová","Justice, Consumers and Gender Equality",25/01/2018,"Brussels, Belgium",Dual Quality,AIM European Brands Association (AIM),FALSE,,,
14,"Eduard Hulicius, Cabinet member of Věra Jourová","Justice, Consumers and Gender Equality",16/01/2018,"Brussels, Belgium",Counterfeited goods,AIM European Brands Association (AIM),FALSE,,,
15,"Eduard Hulicius, Cabinet member of Věra Jourová;Věra Jourová, Commissioner","Justice, Consumers and Gender Equality",19/10/2017,"Brussels, Belgium","dual quality, gender equality and women on boards",AIM European Brands Association (AIM),FALSE,,,
16,"Renate Nikolay, Cabinet member of Věra Jourová;Eduard Hulicius, Cabinet member of Věra Jourová;Věra Jourová, Commissioner","Justice, Consumers and Gender Equality",11/10/2017,"Brussels, Belgium",Dual quality,AIM European Brands Association (AIM),FALSE,,,
17,"Eduard Hulicius, Cabinet member of Věra Jourová","Justice, Consumers and Gender Equality",10/10/2017,"Brussels, Belgium",Dual quality of food,AIM European Brands Association (AIM),FALSE,,,
18,"Agnieszka Drzewoska, Cabinet member of Elżbieta Bieńkowska;Kaius Kristian Hedberg, Cabinet member of Elżbieta Bieńkowska","Internal Market, Industry, Entrepreneurship and SMEs",3/08/2017,Brussels,differences in compositions and in alleged quality of food,AIM European Brands Association (AIM),FALSE,,,
19,"Agnieszka Drzewoska, Cabinet member of Elżbieta Bieńkowska;Rolf Carsten Bermig, Cabinet member of Elżbieta Bieńkowska","Internal Market, Industry, Entrepreneurship and SMEs",25/07/2017,Brussels,dual quality of food,AIM European Brands Association (AIM),FALSE,,,
20,"Věra Jourová, Commissioner;Renate Nikolay, Cabinet member of Věra Jourová;Simona Constantin, Cabinet member of Věra Jourová;Eduard Hulicius, Cabinet member of Věra Jourová","Justice, Consumers and Gender Equality",25/07/2017,"Brussels, Belgium",dual quality of food,AIM European Brands Association (AIM),FALSE,,,
21,"Věra Jourová, Commissioner","Justice, Consumers and Gender Equality",11/05/2017,"Brussels, Belgium",Dual food quality,AIM European Brands Association (AIM),FALSE,,,
22,"Eduard Hulicius, Cabinet member of Věra Jourová","Justice, Consumers and Gender Equality",4/04/2017,"Brussels, Belgium",Quality of foodstuff,AIM European Brands Association (AIM),FALSE,,,
23,"Filomena Chirico, Cabinet member of Jyrki Katainen","Jobs, Growth, Investment and Competitiveness",14/12/2016,Brussels,Brands in the digital single market,AIM European Brands Association (AIM),FALSE,,,
24,"Tiina Astola, Director-General",Acting Director- General of Justice and Consumers (JUST),14/09/2016,Brussels,Introductory visit,AIM European Brands Association (AIM),FALSE,,,
25,"Eric Mamer, Cabinet member of Günther Oettinger",Digital Economy and Society,19/06/2015,Brussels,DSM,AIM European Brands Association (AIM),FALSE,,,
26,"Eduard Hulicius, Cabinet member of Věra Jourová","Justice, Consumers and Gender Equality",6/05/2015,"Brussels, Belgium",Working lunch on 'nudge' initiatives,AIM European Brands Association (AIM),FALSE,,,
27,"Eduard Hulicius, Cabinet member of Věra Jourová","Justice, Consumers and Gender Equality",8/01/2015,"Brussels, Belgium",Product advertising,AIM European Brands Association (AIM),FALSE,,,
1,"Inge Bernaerts, Cabinet member of Marianne Thyssen;Piet van Nuffel, Cabinet member of Marianne Thyssen","Employment, Social Affairs, Skills and Labour Mobility",13/07/2017,Brussels,Antitrust procedure,Alcogroup,FALSE,,,
1,"Catherine Geslain-Lanéelle, Cabinet member of Janusz Wojciechowski",Agriculture,10/06/2020,teleconference,"Animal welfare (including housing types), sustainable food systems, reform of the CAP",AliénorEU,FALSE,,,
2,"Catherine Geslain-Lanéelle, Cabinet member of Janusz Wojciechowski",Agriculture,1/04/2020,videoconference,"To present the European foie gras sector and to discuss European issues, in particular marketing standards for poultry.",AliénorEU,FALSE,,,
3,"Vytenis Andriukaitis, Commissioner;Marco Valletta, Cabinet member of Vytenis Andriukaitis",Health & Food Safety,22/01/2019,Brussels,Rabbit welfare,AliénorEU,FALSE,,,
4,"Marco Valletta, Cabinet member of Vytenis Andriukaitis",Health & Food Safety,15/05/2018,Brussels,Recent initiatives on avian influenza,AliénorEU,FALSE,,,
5,"Lucie Mattera, Cabinet member of Pierre Moscovici","Economic and Financial Affairs, Taxation and Customs",21/04/2017,Brussels,Discussion on limits for cash payments with EU Federation of Jewellery,AliénorEU,FALSE,,,
6,"Nathalie Chaze, Cabinet member of Vytenis Andriukaitis;Marco Valletta, Cabinet member of Vytenis Andriukaitis",Health & Food Safety,13/03/2017,Brussels,Avian influenza epidemic affecting the European foie gras sector,AliénorEU,FALSE,,,
7,"Tom Tynan, Cabinet member of Phil Hogan",Agriculture & Rural Development,13/03/2017,Brussels,Business discussion,AliénorEU,FALSE,,,
8,"Marco Valletta, Cabinet member of Vytenis Andriukaitis",Health & Food Safety,14/10/2016,Brussels,"Animal Healt, Animal welfare",AliénorEU,FALSE,,,
1,"Maria Luisa Llano Cardenal, Cabinet member of Margaritis Schinas",Promoting the European Way of Life,15/09/2020,Videoconference,Health policies in EU,All Policies for a Healthy Europe (Healthy Europe),TRUE,,,
2,"Tove Ernst, Cabinet member of Stella Kyriakides",Health,15/09/2020,Brussels,"Videoconference, about Health policies in EU",All Policies for a Healthy Europe (Healthy Europe),TRUE,,,
3,"Lukas Visek, Cabinet member of Frans Timmermans",European Green Deal,24/06/2020,Brussels - video conference,Sustainable food systems,All Policies for a Healthy Europe (Healthy Europe),TRUE,,,
1,"Tomasz Husak, Cabinet member of Elżbieta Bieńkowska","Internal Market, Industry, Entrepreneurship and SMEs",8/05/2018,Brussels,Fertilizer Regulation,Alliance Européenne des Engrais Phosphatés (AEEP),FALSE,,,
2,"Grzegorz Radziejewski, Cabinet member of Jyrki Katainen","Jobs, Growth, Investment and Competitiveness",13/10/2017,Brussels,New Fertilizer Regulation and the cadmium limits,Alliance Européenne des Engrais Phosphatés (AEEP),FALSE,,,
3,"Tomasz Husak, Cabinet member of Elżbieta Bieńkowska","Internal Market, Industry, Entrepreneurship and SMEs",1/09/2017,Brussels,Fertilizer,Alliance Européenne des Engrais Phosphatés (AEEP),FALSE,,,
1,"Filomena Chirico, Cabinet member of Thierry Breton",Internal Market,23/04/2020,Videoconference,Upcoming DSA proposals and impact on startups,Allied for Startups asbl (AFS),FALSE,,,
2,"Marie Frenay, Cabinet member of Věra Jourová;Daniel Braun, Cabinet member of Věra Jourová",Values and Transparency,26/03/2020,videoconference,Artificial intelligence,Allied for Startups asbl (AFS),FALSE,,,
